-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 12/21/2022 through 12/21/2023 
Location: Latitude  -22.9478   Longitude -47.1487 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 755.36 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M
2022,12,29,3,5.05,340.75
2022,12,29,4,4.68,349.8
2022,12,29,5,4.61,354.07
2022,12,29,6,4.96,353.22
2022,12,29,7,5.75,345.19
2022,12,29,8,6.25,341.41
2022,12,29,9,6.56,337.98
2022,12,29,10,6.4,339.42
2022,12,29,11,6.48,341.28
2022,12,29,12,6.66,340.91
2022,12,29,13,6.41,337.43
2022,12,29,14,5.7,331.22
2022,12,29,15,4.84,324.33
2022,12,29,16,4.03,321.37
2022,12,29,17,3.34,325.19
2022,12,29,18,2.48,337.23
2022,12,29,19,1.77,15.39
2022,12,29,20,1.96,52.95
2022,12,29,21,2.5,69.93
2022,12,29,22,2.68,78.56
2022,12,29,23,2.52,96.22
2022,12,30,0,2.76,122.16
2022,12,30,1,3.56,141.14
2022,12,30,2,4.26,146.14
2022,12,30,3,4.75,140.13
2022,12,30,4,5.07,133.75
2022,12,30,5,5.34,125.78
2022,12,30,6,5.6,117.03
2022,12,30,7,5.58,108.97
2022,12,30,8,4.82,102.73
2022,12,30,9,3.64,101.65
2022,12,30,10,2.61,107.08
2022,12,30,11,1.93,120.92
2022,12,30,12,1.72,140.53
2022,12,30,13,1.93,153.54
2022,12,30,14,2.38,156.55
2022,12,30,15,3.02,153.9
2022,12,30,16,4.08,145.61
2022,12,30,17,5.9,136.88
2022,12,30,18,7.15,132.61
2022,12,30,19,7.36,128.18
2022,12,30,20,7.04,122.91
2022,12,30,21,6.55,119.19
2022,12,30,22,6.1,112.59
2022,12,30,23,5.56,101.93
2022,12,31,0,5.22,88.37
2022,12,31,1,4.99,75.4
2022,12,31,2,4.74,64.2
2022,12,31,3,4.42,55.3
2022,12,31,4,4.03,50.82
2022,12,31,5,3.8,52.61
2022,12,31,6,2.84,57.23
2022,12,31,7,1.17,46.62
2022,12,31,8,0.66,276.79
2022,12,31,9,1.38,267.72
2022,12,31,10,1.86,265.9
2022,12,31,11,2.03,263.81
2022,12,31,12,2.23,254.99
2022,12,31,13,2.52,243.83
2022,12,31,14,2.71,233.43
2022,12,31,15,2.84,220.31
2022,12,31,16,2.96,201.02
2022,12,31,17,3.29,176.87
2022,12,31,18,4.0,149.48
2022,12,31,19,5.28,128.63
2022,12,31,20,5.95,118.48
2022,12,31,21,5.74,112.66
2022,12,31,22,5.3,107.34
2022,12,31,23,4.99,98.64
2023,1,1,0,4.75,87.46
2023,1,1,1,4.41,79.7
2023,1,1,2,4.01,75.21
2023,1,1,3,3.69,70.22
2023,1,1,4,3.5,66.06
2023,1,1,5,3.38,64.68
2023,1,1,6,2.57,62.89
2023,1,1,7,2.18,28.5
2023,1,1,8,1.71,353.17
2023,1,1,9,1.63,321.43
2023,1,1,10,1.88,296.67
2023,1,1,11,2.31,275.23
2023,1,1,12,2.8,257.91
2023,1,1,13,2.94,243.64
2023,1,1,14,2.85,226.0
2023,1,1,15,2.77,202.73
2023,1,1,16,3.09,175.94
2023,1,1,17,3.96,152.98
2023,1,1,18,5.2,136.16
2023,1,1,19,6.46,125.25
2023,1,1,20,6.71,119.43
2023,1,1,21,6.5,116.04
2023,1,1,22,6.33,113.88
2023,1,1,23,5.91,114.12
2023,1,2,0,5.51,113.84
2023,1,2,1,5.22,112.61
2023,1,2,2,4.98,110.88
2023,1,2,3,4.69,106.96
2023,1,2,4,4.29,103.48
2023,1,2,5,3.86,96.62
2023,1,2,6,2.9,80.69
2023,1,2,7,2.48,46.28
2023,1,2,8,2.27,350.89
2023,1,2,9,2.75,312.12
2023,1,2,10,3.15,301.09
2023,1,2,11,3.47,295.59
2023,1,2,12,3.41,290.8
2023,1,2,13,3.05,286.95
2023,1,2,14,2.79,283.26
2023,1,2,15,2.46,279.49
2023,1,2,16,2.17,270.0
2023,1,2,17,1.82,263.61
2023,1,2,18,1.09,288.43
2023,1,2,19,1.14,345.3
2023,1,2,20,2.18,7.64
2023,1,2,21,3.28,3.96
2023,1,2,22,4.16,356.44
2023,1,2,23,4.64,349.82
2023,1,3,0,4.66,345.33
2023,1,3,1,4.63,343.52
2023,1,3,2,5.21,344.15
2023,1,3,3,5.6,346.93
2023,1,3,4,5.5,348.95
2023,1,3,5,5.24,347.68
2023,1,3,6,5.2,340.5
2023,1,3,7,6.12,327.41
2023,1,3,8,6.98,322.0
2023,1,3,9,7.53,322.76
2023,1,3,10,8.08,323.05
2023,1,3,11,8.46,322.7
2023,1,3,12,8.54,321.91
2023,1,3,13,8.54,320.64
2023,1,3,14,8.41,319.03
2023,1,3,15,7.93,318.44
2023,1,3,16,7.18,319.06
2023,1,3,17,5.76,322.28
2023,1,3,18,4.85,329.59
2023,1,3,19,5.06,334.9
2023,1,3,20,5.17,339.48
2023,1,3,21,5.34,345.76
2023,1,3,22,5.61,351.02
2023,1,3,23,5.77,341.2
2023,1,4,0,5.43,331.74
2023,1,4,1,5.24,336.99
2023,1,4,2,5.52,342.97
2023,1,4,3,5.39,338.38
2023,1,4,4,5.07,334.15
2023,1,4,5,4.86,337.31
2023,1,4,6,4.77,341.36
2023,1,4,7,5.48,332.78
2023,1,4,8,6.62,323.83
2023,1,4,9,7.42,317.17
2023,1,4,10,8.01,314.17
2023,1,4,11,8.41,312.63
2023,1,4,12,8.38,310.39
2023,1,4,13,7.61,307.95
2023,1,4,14,6.19,307.0
2023,1,4,15,4.54,309.14
2023,1,4,16,3.19,318.87
2023,1,4,17,2.75,334.38
2023,1,4,18,2.75,350.7
2023,1,4,19,2.28,6.49
2023,1,4,20,2.15,50.01
2023,1,4,21,3.78,91.42
2023,1,4,22,5.41,109.06
2023,1,4,23,5.98,120.89
2023,1,5,0,5.79,130.79
2023,1,5,1,5.19,150.0
2023,1,5,2,5.33,166.96
2023,1,5,3,5.66,165.2
2023,1,5,4,5.97,158.0
2023,1,5,5,5.94,155.76
2023,1,5,6,6.61,154.46
2023,1,5,7,7.53,149.84
2023,1,5,8,7.58,145.11
2023,1,5,9,7.03,139.96
2023,1,5,10,6.26,136.06
2023,1,5,11,5.46,136.39
2023,1,5,12,4.97,141.58
2023,1,5,13,5.01,148.19
2023,1,5,14,5.62,150.51
2023,1,5,15,6.48,148.92
2023,1,5,16,7.23,147.17
2023,1,5,17,7.49,145.66
2023,1,5,18,7.67,142.86
2023,1,5,19,7.52,142.0
2023,1,5,20,7.65,143.47
2023,1,5,21,7.58,143.38
2023,1,5,22,7.62,142.04
2023,1,5,23,7.87,140.19
2023,1,6,0,8.0,139.4
2023,1,6,1,8.25,139.22
2023,1,6,2,8.23,139.08
2023,1,6,3,8.08,137.82
2023,1,6,4,8.05,134.8
2023,1,6,5,7.85,133.67
2023,1,6,6,8.12,130.08
2023,1,6,7,8.68,125.77
2023,1,6,8,8.45,123.07
2023,1,6,9,7.91,121.96
2023,1,6,10,7.4,122.88
2023,1,6,11,7.11,125.44
2023,1,6,12,7.14,128.34
2023,1,6,13,7.52,131.12
2023,1,6,14,8.11,133.4
2023,1,6,15,8.79,134.53
2023,1,6,16,9.41,135.37
2023,1,6,17,9.81,135.81
2023,1,6,18,9.21,137.34
2023,1,6,19,8.29,138.44
2023,1,6,20,8.06,138.89
2023,1,6,21,8.07,138.45
2023,1,6,22,7.9,137.41
2023,1,6,23,7.42,135.81
2023,1,7,0,6.92,136.01
2023,1,7,1,7.02,136.58
2023,1,7,2,7.29,136.78
2023,1,7,3,7.29,135.95
2023,1,7,4,7.2,133.06
2023,1,7,5,6.73,130.95
2023,1,7,6,6.96,126.92
2023,1,7,7,7.69,121.12
2023,1,7,8,7.43,117.75
2023,1,7,9,7.08,116.99
2023,1,7,10,6.73,118.44
2023,1,7,11,6.6,122.82
2023,1,7,12,6.78,129.01
2023,1,7,13,7.25,134.39
2023,1,7,14,7.98,137.46
2023,1,7,15,8.72,139.07
2023,1,7,16,9.37,139.7
2023,1,7,17,9.65,139.73
2023,1,7,18,9.07,139.12
2023,1,7,19,8.33,138.92
2023,1,7,20,8.07,136.76
2023,1,7,21,7.86,134.92
2023,1,7,22,7.78,134.02
2023,1,7,23,7.56,131.61
2023,1,8,0,7.39,126.45
2023,1,8,1,6.88,123.74
2023,1,8,2,6.32,125.69
2023,1,8,3,6.03,127.63
2023,1,8,4,6.2,124.99
2023,1,8,5,6.38,120.15
2023,1,8,6,6.41,115.03
2023,1,8,7,6.28,104.19
2023,1,8,8,5.16,90.43
2023,1,8,9,3.61,73.41
2023,1,8,10,2.23,52.13
2023,1,8,11,1.26,25.3
2023,1,8,12,0.68,337.83
2023,1,8,13,0.58,249.35
2023,1,8,14,1.45,184.33
2023,1,8,15,3.1,160.29
2023,1,8,16,5.18,147.7
2023,1,8,17,7.06,138.99
2023,1,8,18,8.28,134.08
2023,1,8,19,8.51,132.36
2023,1,8,20,8.12,132.04
2023,1,8,21,7.71,133.52
2023,1,8,22,7.67,135.17
2023,1,8,23,7.61,135.75
2023,1,9,0,7.65,133.26
2023,1,9,1,7.84,127.3
2023,1,9,2,7.42,125.48
2023,1,9,3,7.06,125.68
2023,1,9,4,6.55,130.4
2023,1,9,5,5.94,135.48
2023,1,9,6,4.98,134.17
2023,1,9,7,4.49,120.76
2023,1,9,8,4.34,82.34
2023,1,9,9,4.39,35.87
2023,1,9,10,4.56,356.96
2023,1,9,11,4.92,332.09
2023,1,9,12,5.06,318.63
2023,1,9,13,4.98,310.29
2023,1,9,14,4.62,303.56
2023,1,9,15,3.7,296.73
2023,1,9,16,2.37,285.87
2023,1,9,17,1.18,252.28
2023,1,9,18,1.74,168.84
2023,1,9,19,3.48,144.96
2023,1,9,20,4.59,131.34
2023,1,9,21,5.15,119.83
2023,1,9,22,5.22,112.34
2023,1,9,23,5.13,106.01
2023,1,10,0,4.94,99.83
2023,1,10,1,4.83,91.11
2023,1,10,2,4.83,76.53
2023,1,10,3,4.25,65.93
2023,1,10,4,3.51,53.97
2023,1,10,5,3.18,36.7
2023,1,10,6,3.23,21.11
2023,1,10,7,3.47,1.81
2023,1,10,8,4.42,343.17
2023,1,10,9,4.47,332.54
2023,1,10,10,4.76,324.95
2023,1,10,11,5.5,316.5
2023,1,10,12,6.02,308.83
2023,1,10,13,5.96,305.13
2023,1,10,14,5.41,303.64
2023,1,10,15,4.64,302.7
2023,1,10,16,3.66,305.52
2023,1,10,17,3.0,314.47
2023,1,10,18,2.63,329.33
2023,1,10,19,2.78,347.17
2023,1,10,20,3.13,3.01
2023,1,10,21,3.58,11.06
2023,1,10,22,4.05,11.24
2023,1,10,23,4.31,9.07
2023,1,11,0,4.4,2.14
2023,1,11,1,4.35,353.09
2023,1,11,2,4.08,345.46
2023,1,11,3,3.85,341.2
2023,1,11,4,3.96,344.07
2023,1,11,5,4.34,352.35
2023,1,11,6,4.42,359.19
2023,1,11,7,4.69,348.76
2023,1,11,8,5.57,336.24
2023,1,11,9,6.24,326.55
2023,1,11,10,6.51,320.12
2023,1,11,11,6.71,314.48
2023,1,11,12,6.82,308.16
2023,1,11,13,6.71,301.52
2023,1,11,14,6.17,296.14
2023,1,11,15,5.24,292.71
2023,1,11,16,4.22,294.01
2023,1,11,17,3.41,303.62
2023,1,11,18,3.21,319.05
2023,1,11,19,3.61,333.66
2023,1,11,20,4.12,343.25
2023,1,11,21,4.6,351.11
2023,1,11,22,4.9,355.24
2023,1,11,23,4.86,357.14
2023,1,12,0,4.51,357.52
2023,1,12,1,4.4,356.64
2023,1,12,2,4.7,355.52
2023,1,12,3,4.83,352.93
2023,1,12,4,4.6,352.39
2023,1,12,5,4.34,352.96
2023,1,12,6,3.61,355.4
2023,1,12,7,4.05,336.0
2023,1,12,8,5.13,318.64
2023,1,12,9,6.1,314.33
2023,1,12,10,7.18,313.9
2023,1,12,11,7.83,313.02
2023,1,12,12,7.61,312.5
2023,1,12,13,7.03,313.2
2023,1,12,14,6.4,315.44
2023,1,12,15,5.85,318.14
2023,1,12,16,5.44,320.71
2023,1,12,17,4.67,324.4
2023,1,12,18,4.15,332.04
2023,1,12,19,3.93,340.12
2023,1,12,20,4.03,348.93
2023,1,12,21,4.3,354.15
2023,1,12,22,4.65,353.63
2023,1,12,23,4.9,349.71
2023,1,13,0,5.22,344.28
2023,1,13,1,5.43,341.72
2023,1,13,2,5.38,344.59
2023,1,13,3,5.32,351.98
2023,1,13,4,5.3,0.34
2023,1,13,5,5.17,7.03
2023,1,13,6,4.64,2.7
2023,1,13,7,4.95,345.0
2023,1,13,8,6.89,327.59
2023,1,13,9,8.55,320.71
2023,1,13,10,9.22,319.09
2023,1,13,11,9.51,318.86
2023,1,13,12,9.54,319.02
2023,1,13,13,9.24,318.87
2023,1,13,14,8.69,318.43
2023,1,13,15,7.98,319.17
2023,1,13,16,6.86,323.67
2023,1,13,17,5.5,333.22
2023,1,13,18,5.18,346.03
2023,1,13,19,5.61,353.53
2023,1,13,20,5.63,355.46
2023,1,13,21,5.34,356.73
2023,1,13,22,4.85,356.68
2023,1,13,23,4.44,351.4
2023,1,14,0,4.92,350.76
2023,1,14,1,5.64,352.52
2023,1,14,2,5.74,352.02
2023,1,14,3,5.64,352.12
2023,1,14,4,5.59,351.8
2023,1,14,5,5.46,351.68
2023,1,14,6,5.08,354.62
2023,1,14,7,5.75,343.09
2023,1,14,8,6.83,333.29
2023,1,14,9,7.45,330.34
2023,1,14,10,7.95,330.64
2023,1,14,11,8.28,332.66
2023,1,14,12,8.24,333.78
2023,1,14,13,7.83,334.28
2023,1,14,14,7.3,335.41
2023,1,14,15,6.76,337.29
2023,1,14,16,6.05,338.31
2023,1,14,17,4.72,336.91
2023,1,14,18,3.71,339.81
2023,1,14,19,3.26,348.96
2023,1,14,20,3.01,0.15
2023,1,14,21,3.2,16.58
2023,1,14,22,3.93,29.42
2023,1,14,23,4.53,34.6
2023,1,15,0,4.84,35.15
2023,1,15,1,4.99,30.83
2023,1,15,2,5.04,24.86
2023,1,15,3,4.92,18.61
2023,1,15,4,4.58,12.92
2023,1,15,5,4.22,7.13
2023,1,15,6,3.57,3.64
2023,1,15,7,3.15,342.82
2023,1,15,8,4.16,323.86
2023,1,15,9,5.02,319.29
2023,1,15,10,4.86,335.82
2023,1,15,11,4.96,343.16
2023,1,15,12,5.01,334.11
2023,1,15,13,4.72,325.99
2023,1,15,14,4.32,319.77
2023,1,15,15,3.96,311.08
2023,1,15,16,3.61,299.28
2023,1,15,17,3.32,288.09
2023,1,15,18,3.04,276.34
2023,1,15,19,2.89,267.36
2023,1,15,20,2.67,258.16
2023,1,15,21,2.24,249.16
2023,1,15,22,1.78,240.51
2023,1,15,23,1.32,230.76
2023,1,16,0,0.75,207.37
2023,1,16,1,0.59,139.32
2023,1,16,2,1.13,127.67
2023,1,16,3,1.73,133.72
2023,1,16,4,2.22,133.43
2023,1,16,5,2.55,132.39
2023,1,16,6,2.87,123.56
2023,1,16,7,2.93,115.13
2023,1,16,8,2.83,100.35
2023,1,16,9,2.69,78.59
2023,1,16,10,2.19,78.49
2023,1,16,11,1.56,91.72
2023,1,16,12,1.24,122.39
2023,1,16,13,1.79,155.0
2023,1,16,14,2.79,163.04
2023,1,16,15,3.8,159.78
2023,1,16,16,4.67,155.28
2023,1,16,17,5.53,149.59
2023,1,16,18,6.31,144.93
2023,1,16,19,6.59,143.73
2023,1,16,20,6.82,139.69
2023,1,16,21,6.98,136.09
2023,1,16,22,6.81,135.33
2023,1,16,23,6.82,128.86
2023,1,17,0,6.56,114.12
2023,1,17,1,6.1,108.99
2023,1,17,2,6.05,108.83
2023,1,17,3,6.01,107.94
2023,1,17,4,5.71,106.13
2023,1,17,5,5.25,104.93
2023,1,17,6,4.17,95.27
2023,1,17,7,3.5,71.24
2023,1,17,8,3.19,40.13
2023,1,17,9,2.96,11.28
2023,1,17,10,3.01,351.2
2023,1,17,11,3.01,338.7
2023,1,17,12,2.62,328.77
2023,1,17,13,1.95,320.05
2023,1,17,14,1.18,303.37
2023,1,17,15,0.71,248.78
2023,1,17,16,1.29,181.39
2023,1,17,17,2.73,154.9
2023,1,17,18,4.75,139.94
2023,1,17,19,6.68,131.54
2023,1,17,20,7.39,128.77
2023,1,17,21,7.13,128.01
2023,1,17,22,6.78,129.1
2023,1,17,23,6.56,129.59
2023,1,18,0,6.33,127.38
2023,1,18,1,6.02,127.14
2023,1,18,2,5.64,134.16
2023,1,18,3,5.67,146.18
2023,1,18,4,6.17,151.23
2023,1,18,5,6.27,145.04
2023,1,18,6,5.48,125.43
2023,1,18,7,4.04,92.88
2023,1,18,8,4.2,35.31
2023,1,18,9,5.03,354.21
2023,1,18,10,5.42,333.73
2023,1,18,11,4.83,322.82
2023,1,18,12,3.65,309.79
2023,1,18,13,2.66,285.67
2023,1,18,14,2.31,252.24
2023,1,18,15,2.48,219.11
2023,1,18,16,3.08,188.6
2023,1,18,17,4.39,162.82
2023,1,18,18,6.1,144.38
2023,1,18,19,7.66,134.42
2023,1,18,20,7.69,129.51
2023,1,18,21,7.38,126.6
2023,1,18,22,6.96,124.24
2023,1,18,23,6.64,123.91
2023,1,19,0,6.41,125.32
2023,1,19,1,6.15,126.21
2023,1,19,2,5.94,124.17
2023,1,19,3,5.69,119.24
2023,1,19,4,5.43,112.43
2023,1,19,5,5.21,104.49
2023,1,19,6,4.22,100.46
2023,1,19,7,3.37,90.53
2023,1,19,8,2.68,69.72
2023,1,19,9,1.96,23.8
2023,1,19,10,2.08,333.92
2023,1,19,11,2.62,311.62
2023,1,19,12,2.96,301.64
2023,1,19,13,2.94,294.12
2023,1,19,14,2.75,284.31
2023,1,19,15,2.43,274.79
2023,1,19,16,1.95,257.97
2023,1,19,17,1.5,210.71
2023,1,19,18,2.39,163.28
2023,1,19,19,4.0,138.49
2023,1,19,20,5.18,123.11
2023,1,19,21,5.74,111.82
2023,1,19,22,5.75,103.28
2023,1,19,23,5.28,98.43
2023,1,20,0,4.85,95.83
2023,1,20,1,4.77,94.79
2023,1,20,2,4.98,93.15
2023,1,20,3,4.91,88.91
2023,1,20,4,4.4,78.73
2023,1,20,5,3.9,58.45
2023,1,20,6,3.54,27.07
2023,1,20,7,3.25,351.29
2023,1,20,8,3.72,324.24
2023,1,20,9,4.3,319.42
2023,1,20,10,4.18,319.25
2023,1,20,11,3.7,319.45
2023,1,20,12,3.51,312.29
2023,1,20,13,3.38,297.1
2023,1,20,14,3.23,280.3
2023,1,20,15,2.8,265.2
2023,1,20,16,2.25,249.86
2023,1,20,17,1.69,227.44
2023,1,20,18,1.25,189.34
2023,1,20,19,1.56,132.77
2023,1,20,20,2.45,106.7
2023,1,20,21,3.23,91.39
2023,1,20,22,3.87,78.12
2023,1,20,23,4.28,65.26
2023,1,21,0,3.71,40.64
2023,1,21,1,3.36,357.06
2023,1,21,2,3.61,328.72
2023,1,21,3,3.67,318.45
2023,1,21,4,3.76,309.52
2023,1,21,5,4.4,302.53
2023,1,21,6,4.45,294.27
2023,1,21,7,5.45,283.6
2023,1,21,8,5.97,279.57
2023,1,21,9,5.88,278.1
2023,1,21,10,5.71,275.49
2023,1,21,11,5.6,271.6
2023,1,21,12,5.56,266.78
2023,1,21,13,5.35,262.28
2023,1,21,14,4.92,257.91
2023,1,21,15,4.26,251.6
2023,1,21,16,3.41,242.85
2023,1,21,17,2.39,229.11
2023,1,21,18,1.53,190.57
2023,1,21,19,1.63,131.7
2023,1,21,20,1.86,95.54
2023,1,21,21,1.69,58.81
2023,1,21,22,1.99,15.51
2023,1,21,23,3.17,348.19
2023,1,22,0,5.32,327.29
2023,1,22,1,6.35,323.86
2023,1,22,2,6.05,326.43
2023,1,22,3,5.64,337.09
2023,1,22,4,5.99,347.18
2023,1,22,5,6.64,340.97
2023,1,22,6,5.89,331.67
2023,1,22,7,5.91,315.05
2023,1,22,8,6.04,297.23
2023,1,22,9,5.64,286.65
2023,1,22,10,4.97,280.96
2023,1,22,11,4.62,279.33
2023,1,22,12,4.51,278.76
2023,1,22,13,4.45,273.83
2023,1,22,14,4.39,265.3
2023,1,22,15,4.26,257.93
2023,1,22,16,3.97,257.96
2023,1,22,17,3.7,265.4
2023,1,22,18,3.77,277.38
2023,1,22,19,4.24,286.6
