-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 12/21/2022 through 12/21/2023 
Location: Latitude  -22.9478   Longitude -47.1487 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 755.36 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,12,25,5,5.0,5.15,0.66,0.0,0.02
2022,12,25,6,67.9,76.38,8.05,0.06,0.3
2022,12,25,7,175.62,184.5,21.01,0.36,1.8
2022,12,25,8,281.85,292.6,35.95,0.92,4.7
2022,12,25,9,381.52,383.25,50.47,1.63,8.7
2022,12,25,10,454.02,451.42,61.55,2.29,12.75
2022,12,25,11,472.88,488.48,65.18,2.61,14.9
2022,12,25,12,433.05,491.15,59.83,2.43,13.8
2022,12,25,13,383.0,464.33,52.95,2.06,11.12
2022,12,25,14,286.98,407.27,40.0,1.41,7.25
2022,12,25,15,261.55,323.77,34.83,1.01,5.42
2022,12,25,16,159.2,220.02,20.98,0.45,2.25
2022,12,25,17,76.05,108.23,9.8,0.12,0.58
2022,12,25,18,11.58,17.05,1.55,0.01,0.02
2022,12,25,19,0.0,0.0,0.0,0.0,0.0
2022,12,25,20,0.0,0.0,0.0,0.0,0.0
2022,12,25,21,0.0,0.0,0.0,0.0,0.0
2022,12,25,22,0.0,0.0,0.0,0.0,0.0
2022,12,25,23,0.0,0.0,0.0,0.0,0.0
2022,12,26,0,0.0,0.0,0.0,0.0,0.0
2022,12,26,1,0.0,0.0,0.0,0.0,0.0
2022,12,26,2,0.0,0.0,0.0,0.0,0.0
2022,12,26,3,0.0,0.0,0.0,0.0,0.0
2022,12,26,4,0.0,0.0,0.0,0.0,0.0
2022,12,26,5,2.5,4.42,0.35,0.0,0.0
2022,12,26,6,24.55,64.35,3.28,0.03,0.12
2022,12,26,7,81.08,169.6,11.27,0.22,1.1
2022,12,26,8,165.25,277.25,23.2,0.66,3.52
2022,12,26,9,237.85,370.08,33.24,1.16,6.27
2022,12,26,10,288.2,436.85,40.52,1.58,8.05
2022,12,26,11,285.6,474.17,41.11,1.69,9.38
2022,12,26,12,274.73,478.55,39.28,1.62,9.12
2022,12,26,13,232.0,450.85,33.83,1.34,7.05
2022,12,26,14,172.9,392.2,25.3,0.92,4.65
2022,12,26,15,124.5,308.67,17.95,0.55,3.05
2022,12,26,16,70.23,205.15,10.05,0.23,1.17
2022,12,26,17,31.27,96.77,4.45,0.06,0.3
2022,12,26,18,7.77,15.73,1.08,0.01,0.02
2022,12,26,19,0.0,0.0,0.0,0.0,0.0
2022,12,26,20,0.0,0.0,0.0,0.0,0.0
2022,12,26,21,0.0,0.0,0.0,0.0,0.0
2022,12,26,22,0.0,0.0,0.0,0.0,0.0
2022,12,26,23,0.0,0.0,0.0,0.0,0.0
2022,12,27,0,0.0,0.0,0.0,0.0,0.0
2022,12,27,1,0.0,0.0,0.0,0.0,0.0
2022,12,27,2,0.0,0.0,0.0,0.0,0.0
2022,12,27,3,0.0,0.0,0.0,0.0,0.0
2022,12,27,4,0.0,0.0,0.0,0.0,0.0
2022,12,27,5,4.55,4.58,0.58,0.0,0.0
2022,12,27,6,52.5,74.15,6.25,0.05,0.25
2022,12,27,7,108.52,186.23,14.35,0.28,1.42
2022,12,27,8,176.0,293.73,24.42,0.71,3.8
2022,12,27,9,243.7,383.27,34.34,1.23,6.77
2022,12,27,10,318.83,450.52,45.35,1.83,9.55
2022,12,27,11,380.65,488.83,53.41,2.27,13.1
2022,12,27,12,376.55,494.6,53.08,2.28,13.23
2022,12,27,13,313.85,467.83,45.04,1.86,10.23
2022,12,27,14,293.15,410.15,41.06,1.54,8.0
2022,12,27,15,220.85,327.4,30.51,0.96,5.33
2022,12,27,16,144.02,224.7,19.48,0.46,2.33
2022,12,27,17,67.25,112.95,8.54,0.11,0.58
2022,12,27,18,14.73,18.92,1.88,0.01,0.02
2022,12,27,19,0.0,0.0,0.0,0.0,0.0
2022,12,27,20,0.0,0.0,0.0,0.0,0.0
2022,12,27,21,0.0,0.0,0.0,0.0,0.0
2022,12,27,22,0.0,0.0,0.0,0.0,0.0
2022,12,27,23,0.0,0.0,0.0,0.0,0.0
2022,12,28,0,0.0,0.0,0.0,0.0,0.0
2022,12,28,1,0.0,0.0,0.0,0.0,0.0
2022,12,28,2,0.0,0.0,0.0,0.0,0.0
2022,12,28,3,0.0,0.0,0.0,0.0,0.0
2022,12,28,4,0.0,0.0,0.0,0.0,0.0
2022,12,28,5,2.2,4.33,0.32,0.0,0.0
2022,12,28,6,12.7,66.23,1.79,0.02,0.08
2022,12,28,7,54.35,171.0,7.4,0.12,0.62
2022,12,28,8,95.95,279.45,13.68,0.36,1.95
2022,12,28,9,188.65,374.33,27.68,1.03,5.62
2022,12,28,10,211.35,442.62,30.84,1.22,6.38
2022,12,28,11,250.9,481.92,36.81,1.55,8.77
2022,12,28,12,192.52,488.98,29.25,1.26,7.25
2022,12,28,13,134.35,463.62,20.14,0.82,4.38
2022,12,28,14,123.7,408.08,17.57,0.6,3.08
2022,12,28,15,75.02,326.02,11.35,0.38,2.08
2022,12,28,16,51.58,224.23,7.8,0.2,1.0
2022,12,28,17,15.23,112.77,2.29,0.03,0.17
2022,12,28,18,6.92,18.98,1.01,0.0,0.02
2022,12,28,19,0.0,0.0,0.0,0.0,0.0
2022,12,28,20,0.0,0.0,0.0,0.0,0.0
2022,12,28,21,0.0,0.0,0.0,0.0,0.0
2022,12,28,22,0.0,0.0,0.0,0.0,0.0
2022,12,28,23,0.0,0.0,0.0,0.0,0.0
2022,12,29,0,0.0,0.0,0.0,0.0,0.0
2022,12,29,1,0.0,0.0,0.0,0.0,0.0
2022,12,29,2,0.0,0.0,0.0,0.0,0.0
2022,12,29,3,0.0,0.0,0.0,0.0,0.0
2022,12,29,4,0.0,0.0,0.0,0.0,0.0
2022,12,29,5,2.02,4.25,0.29,0.0,0.0
2022,12,29,6,27.27,70.7,3.85,0.03,0.17
2022,12,29,7,84.98,180.23,12.02,0.26,1.27
2022,12,29,8,128.38,287.2,18.63,0.55,3.05
2022,12,29,9,194.77,377.9,28.17,1.02,5.62
2022,12,29,10,279.17,444.52,39.47,1.59,8.23
2022,12,29,11,333.62,482.23,47.6,2.03,11.7
2022,12,29,12,374.67,488.23,52.34,2.26,13.15
2022,12,29,13,290.7,461.33,41.78,1.74,9.42
2022,12,29,14,310.45,403.02,42.65,1.61,8.25
2022,12,29,15,230.92,318.23,31.52,1.0,5.6
2022,12,29,16,152.45,215.17,20.22,0.48,2.45
2022,12,29,17,73.7,105.23,9.47,0.13,0.65
2022,12,29,18,13.92,17.67,1.84,0.01,0.02
2022,12,29,19,0.0,0.0,0.0,0.0,0.0
2022,12,29,20,0.0,0.0,0.0,0.0,0.0
2022,12,29,21,0.0,0.0,0.0,0.0,0.0
2022,12,29,22,0.0,0.0,0.0,0.0,0.0
2022,12,29,23,0.0,0.0,0.0,0.0,0.0
2022,12,30,0,0.0,0.0,0.0,0.0,0.0
2022,12,30,1,0.0,0.0,0.0,0.0,0.0
2022,12,30,2,0.0,0.0,0.0,0.0,0.0
2022,12,30,3,0.0,0.0,0.0,0.0,0.0
2022,12,30,4,0.0,0.0,0.0,0.0,0.0
2022,12,30,5,3.65,3.88,0.48,0.0,0.0
2022,12,30,6,42.8,63.65,5.28,0.05,0.23
2022,12,30,7,117.92,169.62,15.23,0.3,1.52
2022,12,30,8,190.9,276.98,25.56,0.73,3.95
2022,12,30,9,279.0,369.38,38.23,1.38,7.7
2022,12,30,10,334.3,438.55,46.36,1.88,9.92
2022,12,30,11,414.77,479.55,56.92,2.44,14.33
2022,12,30,12,408.33,489.85,56.56,2.46,14.55
2022,12,30,13,345.8,461.38,47.93,2.0,11.25
2022,12,30,14,269.88,406.98,37.81,1.45,7.67
2022,12,30,15,184.23,324.12,26.03,0.88,4.92
2022,12,30,16,103.52,221.8,14.45,0.36,1.83
2022,12,30,17,46.45,113.83,6.09,0.09,0.42
2022,12,30,18,9.98,19.9,1.34,0.01,0.02
2022,12,30,19,0.0,0.0,0.0,0.0,0.0
2022,12,30,20,0.0,0.0,0.0,0.0,0.0
2022,12,30,21,0.0,0.0,0.0,0.0,0.0
2022,12,30,22,0.0,0.0,0.0,0.0,0.0
2022,12,30,23,0.0,0.0,0.0,0.0,0.0
2022,12,31,0,0.0,0.0,0.0,0.0,0.0
2022,12,31,1,0.0,0.0,0.0,0.0,0.0
2022,12,31,2,0.0,0.0,0.0,0.0,0.0
2022,12,31,3,0.0,0.0,0.0,0.0,0.0
2022,12,31,4,0.0,0.0,0.0,0.0,0.0
2022,12,31,5,3.67,3.9,0.48,0.0,0.0
2022,12,31,6,41.33,68.4,5.23,0.04,0.23
2022,12,31,7,110.33,175.95,14.85,0.3,1.5
2022,12,31,8,180.25,284.8,24.68,0.72,3.85
2022,12,31,9,263.35,378.38,36.66,1.32,7.35
2022,12,31,10,285.48,446.05,40.6,1.64,8.73
2022,12,31,11,414.9,483.85,57.36,2.44,14.23
2022,12,31,12,419.23,494.12,58.41,2.52,14.83
2022,12,31,13,409.6,468.23,56.4,2.34,13.15
2022,12,31,14,349.4,412.85,47.73,1.78,9.73
2022,12,31,15,206.48,331.45,28.66,0.92,5.1
2022,12,31,16,148.4,229.62,19.8,0.48,2.4
2022,12,31,17,69.92,119.12,8.86,0.12,0.62
2022,12,31,18,14.08,21.05,1.84,0.01,0.02
2022,12,31,19,0.0,0.0,0.0,0.0,0.0
2022,12,31,20,0.0,0.0,0.0,0.0,0.0
2022,12,31,21,0.0,0.0,0.0,0.0,0.0
2022,12,31,22,0.0,0.0,0.0,0.0,0.0
2022,12,31,23,0.0,0.0,0.0,0.0,0.0
2023,1,1,0,0.0,0.0,0.0,0.0,0.0
2023,1,1,1,0.0,0.0,0.0,0.0,0.0
2023,1,1,2,0.0,0.0,0.0,0.0,0.0
2023,1,1,3,0.0,0.0,0.0,0.0,0.0
2023,1,1,4,0.0,0.0,0.0,0.0,0.0
2023,1,1,5,3.25,3.83,0.44,0.0,0.0
2023,1,1,6,54.92,69.48,6.77,0.05,0.27
2023,1,1,7,155.15,179.5,19.24,0.37,1.83
2023,1,1,8,267.77,288.4,34.4,0.94,4.88
2023,1,1,9,278.4,381.15,38.84,1.37,7.58
2023,1,1,10,401.9,448.58,55.04,2.18,12.08
2023,1,1,11,425.12,487.3,58.87,2.5,14.58
2023,1,1,12,352.23,490.15,49.54,2.15,12.48
2023,1,1,13,271.88,464.95,39.44,1.67,9.27
2023,1,1,14,230.62,409.6,32.9,1.25,6.45
2023,1,1,15,274.88,327.8,36.57,1.15,6.2
2023,1,1,16,179.38,224.6,23.34,0.55,2.8
2023,1,1,17,91.05,113.73,10.98,0.15,0.73
2023,1,1,18,16.73,20.1,2.1,0.01,0.05
2023,1,1,19,0.0,0.0,0.0,0.0,0.0
2023,1,1,20,0.0,0.0,0.0,0.0,0.0
2023,1,1,21,0.0,0.0,0.0,0.0,0.0
2023,1,1,22,0.0,0.0,0.0,0.0,0.0
2023,1,1,23,0.0,0.0,0.0,0.0,0.0
2023,1,2,0,0.0,0.0,0.0,0.0,0.0
2023,1,2,1,0.0,0.0,0.0,0.0,0.0
2023,1,2,2,0.0,0.0,0.0,0.0,0.0
2023,1,2,3,0.0,0.0,0.0,0.0,0.0
2023,1,2,4,0.0,0.0,0.0,0.0,0.0
2023,1,2,5,3.62,3.73,0.47,0.0,0.0
2023,1,2,6,62.9,72.1,7.24,0.05,0.27
2023,1,2,7,161.15,182.12,19.68,0.37,1.85
2023,1,2,8,256.8,285.8,33.51,0.93,5.02
2023,1,2,9,348.95,377.8,46.52,1.62,9.12
2023,1,2,10,437.55,447.85,59.59,2.35,13.08
2023,1,2,11,439.45,488.92,61.34,2.62,15.17
2023,1,2,12,417.48,488.15,57.88,2.49,14.58
2023,1,2,13,388.2,461.17,53.61,2.21,12.33
2023,1,2,14,310.7,402.0,42.41,1.59,8.05
2023,1,2,15,211.27,315.48,29.2,0.93,5.3
2023,1,2,16,132.77,217.58,18.0,0.43,2.23
2023,1,2,17,72.98,108.98,9.58,0.13,0.67
2023,1,2,18,12.4,18.95,1.67,0.01,0.02
2023,1,2,19,0.0,0.0,0.0,0.0,0.0
2023,1,2,20,0.0,0.0,0.0,0.0,0.0
2023,1,2,21,0.0,0.0,0.0,0.0,0.0
2023,1,2,22,0.0,0.0,0.0,0.0,0.0
2023,1,2,23,0.0,0.0,0.0,0.0,0.0
2023,1,3,0,0.0,0.0,0.0,0.0,0.0
2023,1,3,1,0.0,0.0,0.0,0.0,0.0
2023,1,3,2,0.0,0.0,0.0,0.0,0.0
2023,1,3,3,0.0,0.0,0.0,0.0,0.0
2023,1,3,4,0.0,0.0,0.0,0.0,0.0
2023,1,3,5,2.9,3.2,0.4,0.0,0.0
2023,1,3,6,32.33,63.48,4.43,0.04,0.2
2023,1,3,7,77.4,172.6,10.42,0.21,1.08
2023,1,3,8,125.83,281.2,18.23,0.55,2.95
2023,1,3,9,222.6,374.08,31.72,1.15,6.45
2023,1,3,10,273.08,442.85,39.26,1.6,8.23
2023,1,3,11,326.8,482.7,46.7,2.02,11.5
2023,1,3,12,344.6,489.3,48.81,2.12,12.38
2023,1,3,13,316.55,463.02,44.84,1.88,10.27
2023,1,3,14,221.35,405.4,31.85,1.23,6.2
2023,1,3,15,188.55,319.98,26.23,0.85,4.8
2023,1,3,16,136.5,213.65,18.48,0.45,2.35
2023,1,3,17,70.38,103.42,9.24,0.13,0.67
2023,1,3,18,12.8,17.52,1.68,0.01,0.02
2023,1,3,19,0.0,0.0,0.0,0.0,0.0
2023,1,3,20,0.0,0.0,0.0,0.0,0.0
2023,1,3,21,0.0,0.0,0.0,0.0,0.0
2023,1,3,22,0.0,0.0,0.0,0.0,0.0
2023,1,3,23,0.0,0.0,0.0,0.0,0.0
2023,1,4,0,0.0,0.0,0.0,0.0,0.0
2023,1,4,1,0.0,0.0,0.0,0.0,0.0
2023,1,4,2,0.0,0.0,0.0,0.0,0.0
2023,1,4,3,0.0,0.0,0.0,0.0,0.0
2023,1,4,4,0.0,0.0,0.0,0.0,0.0
2023,1,4,5,2.08,2.92,0.29,0.0,0.0
2023,1,4,6,11.98,58.25,1.77,0.02,0.08
2023,1,4,7,38.92,161.45,5.71,0.12,0.6
2023,1,4,8,94.75,268.15,13.89,0.42,2.3
2023,1,4,9,197.98,360.55,28.03,1.03,5.88
2023,1,4,10,254.0,430.05,36.0,1.48,7.67
2023,1,4,11,286.58,471.23,40.73,1.78,10.25
2023,1,4,12,304.45,481.7,43.52,1.93,11.33
2023,1,4,13,309.9,457.25,43.62,1.87,10.25
2023,1,4,14,193.85,400.92,28.12,1.11,5.6
2023,1,4,15,175.25,315.73,24.74,0.83,4.75
2023,1,4,16,105.9,211.4,14.73,0.35,1.8
2023,1,4,17,30.9,102.25,4.28,0.06,0.33
2023,1,4,18,10.4,18.3,1.45,0.01,0.02
2023,1,4,19,0.0,0.0,0.0,0.0,0.0
2023,1,4,20,0.0,0.0,0.0,0.0,0.0
2023,1,4,21,0.0,0.0,0.0,0.0,0.0
2023,1,4,22,0.0,0.0,0.0,0.0,0.0
2023,1,4,23,0.0,0.0,0.0,0.0,0.0
2023,1,5,0,0.0,0.0,0.0,0.0,0.0
2023,1,5,1,0.0,0.0,0.0,0.0,0.0
2023,1,5,2,0.0,0.0,0.0,0.0,0.0
2023,1,5,3,0.0,0.0,0.0,0.0,0.0
2023,1,5,4,0.0,0.0,0.0,0.0,0.0
2023,1,5,5,1.73,2.77,0.25,0.0,0.0
2023,1,5,6,25.27,56.38,3.34,0.03,0.15
2023,1,5,7,48.85,163.1,7.37,0.16,0.8
2023,1,5,8,110.77,276.15,16.48,0.51,2.75
2023,1,5,9,155.1,373.55,23.41,0.88,4.95
2023,1,5,10,180.15,444.2,27.42,1.17,6.05
2023,1,5,11,202.67,485.2,31.02,1.38,7.83
2023,1,5,12,138.6,494.5,21.9,1.0,5.85
2023,1,5,13,132.15,470.85,20.78,0.91,4.95
2023,1,5,14,148.58,416.73,22.68,0.95,4.77
2023,1,5,15,109.15,334.73,16.68,0.58,3.25
2023,1,5,16,62.67,230.27,9.55,0.25,1.3
2023,1,5,17,25.92,116.88,3.92,0.06,0.3
2023,1,5,18,11.8,21.4,1.61,0.01,0.02
2023,1,5,19,0.0,0.0,0.0,0.0,0.0
2023,1,5,20,0.0,0.0,0.0,0.0,0.0
2023,1,5,21,0.0,0.0,0.0,0.0,0.0
2023,1,5,22,0.0,0.0,0.0,0.0,0.0
2023,1,5,23,0.0,0.0,0.0,0.0,0.0
2023,1,6,0,0.0,0.0,0.0,0.0,0.0
2023,1,6,1,0.0,0.0,0.0,0.0,0.0
2023,1,6,2,0.0,0.0,0.0,0.0,0.0
2023,1,6,3,0.0,0.0,0.0,0.0,0.0
2023,1,6,4,0.0,0.0,0.0,0.0,0.0
2023,1,6,5,1.92,2.75,0.27,0.0,0.0
2023,1,6,6,26.58,61.6,3.67,0.03,0.15
2023,1,6,7,85.55,170.52,12.16,0.23,1.17
2023,1,6,8,151.35,279.35,21.65,0.62,3.3
2023,1,6,9,225.08,372.38,32.14,1.15,6.38
2023,1,6,10,274.25,441.38,39.25,1.58,8.02
2023,1,6,11,281.7,480.27,40.88,1.73,9.6
2023,1,6,12,243.48,486.4,35.93,1.54,8.7
2023,1,6,13,229.48,459.92,33.55,1.41,7.5
2023,1,6,14,178.23,402.75,26.25,1.0,4.98
2023,1,6,15,120.27,319.38,17.76,0.59,3.25
2023,1,6,16,71.73,218.52,10.62,0.27,1.35
2023,1,6,17,33.65,109.62,4.99,0.07,0.35
2023,1,6,18,17.52,20.0,2.23,0.01,0.05
2023,1,6,19,0.0,0.0,0.0,0.0,0.0
2023,1,6,20,0.0,0.0,0.0,0.0,0.0
2023,1,6,21,0.0,0.0,0.0,0.0,0.0
2023,1,6,22,0.0,0.0,0.0,0.0,0.0
2023,1,6,23,0.0,0.0,0.0,0.0,0.0
2023,1,7,0,0.0,0.0,0.0,0.0,0.0
2023,1,7,1,0.0,0.0,0.0,0.0,0.0
2023,1,7,2,0.0,0.0,0.0,0.0,0.0
2023,1,7,3,0.0,0.0,0.0,0.0,0.0
2023,1,7,4,0.0,0.0,0.0,0.0,0.0
2023,1,7,5,1.55,2.62,0.22,0.0,0.0
2023,1,7,6,36.45,62.2,4.62,0.03,0.17
2023,1,7,7,98.48,170.17,13.18,0.25,1.27
2023,1,7,8,173.12,276.45,24.32,0.69,3.73
2023,1,7,9,232.62,368.67,32.85,1.15,6.45
2023,1,7,10,265.85,438.17,38.24,1.52,7.8
2023,1,7,11,284.1,477.77,41.29,1.76,9.8
2023,1,7,12,217.35,468.4,31.66,1.35,7.65
2023,1,7,13,195.62,445.67,28.44,1.17,6.27
2023,1,7,14,183.27,391.3,26.58,1.0,5.0
2023,1,7,15,118.02,311.0,17.31,0.56,3.15
2023,1,7,16,96.95,209.08,13.79,0.34,1.73
2023,1,7,17,50.75,103.17,6.52,0.09,0.45
2023,1,7,18,14.95,19.33,1.93,0.01,0.02
2023,1,7,19,0.0,0.0,0.0,0.0,0.0
2023,1,7,20,0.0,0.0,0.0,0.0,0.0
2023,1,7,21,0.0,0.0,0.0,0.0,0.0
2023,1,7,22,0.0,0.0,0.0,0.0,0.0
2023,1,7,23,0.0,0.0,0.0,0.0,0.0
2023,1,8,0,0.0,0.0,0.0,0.0,0.0
2023,1,8,1,0.0,0.0,0.0,0.0,0.0
2023,1,8,2,0.0,0.0,0.0,0.0,0.0
2023,1,8,3,0.0,0.0,0.0,0.0,0.0
2023,1,8,4,0.0,0.0,0.0,0.0,0.0
2023,1,8,5,2.17,2.25,0.29,0.0,0.0
2023,1,8,6,31.2,51.15,4.1,0.03,0.15
2023,1,8,7,100.3,150.38,13.21,0.25,1.27
2023,1,8,8,175.17,260.23,23.65,0.66,3.6
2023,1,8,9,246.98,357.98,33.95,1.19,6.75
2023,1,8,10,211.25,431.95,30.51,1.23,6.23
